


X;Y;Z
-0.599954;0.386681;2.86188
-0.600602;0.387241;2.86514
-0.600757;0.387241;2.86571



X;Y;Z
0.644965;0.327851;2.87897
0.645297;0.328019;2.88045
0.646479;0.328708;2.886
0.644579;0.3277;2.87737
0.646737;0.328753;2.88706
0.644965;0.327851;2.87897
0.64606;0.328416;2.88372
0.643967;0.327374;2.87477
0.646337;0.328508;2.88483
0.648892;0.329804;2.89626
0.645168;0.327993;2.88
0.644841;0.327851;2.87867
0.646395;0.328586;2.88522
0.648871;0.329813;2.8963
0.647383;0.329151;2.88992
0.644965;0.327851;2.87897
0.645679;0.328257;2.88228
0.645685;0.32822;2.88246
0.644965;0.327851;2.87897
0.644965;0.327851;2.87897
0.645094;0.327933;2.87967
0.645008;0.327833;2.87888
0.644414;0.327591;2.87664
0.643967;0.327374;2.87477
0.647062;0.328903;2.88849
0.645805;0.328259;2.88259
0.64732;0.328998;2.88938
0.64393;0.327332;2.87461
0.642934;0.326867;2.87028
0.644166;0.327479;2.87566
0.645094;0.327933;2.87967
0.646195;0.32843;2.88461
0.645743;0.328217;2.88245
0.64553;0.328125;2.88164
0.643349;0.327074;2.87229
0.645611;0.328134;2.88173
0.644087;0.327502;2.87558
0.644665;0.327751;2.87804
0.644166;0.327479;2.87566
0.643132;0.326972;2.87117
0.644735;0.327795;2.8782
0.643624;0.32724;2.87352
0.644166;0.327479;2.87566
0.645881;0.328377;2.88334
0.644735;0.327795;2.8782
0.644962;0.327902;2.87937
0.644739;0.327768;2.87821
0.645915;0.328332;2.88321
0.642798;0.32684;2.86995
0.644841;0.327851;2.87867
0.644418;0.327598;2.87694
0.643349;0.327074;2.87229
0.642934;0.326867;2.87028
0.642692;0.326694;2.86921
0.645721;0.328335;2.88291
0.647397;0.32902;2.89
0.642853;0.326826;2.86992
0.645485;0.328114;2.88157
0.642477;0.326675;2.86852
0.642797;0.32673;2.86982
0.645263;0.327951;2.88058
0.645121;0.327969;2.88022
0.644368;0.327541;2.87671
0.645713;0.328209;2.88261
0.644875;0.327734;2.87872
0.645902;0.328321;2.88359
0.645159;0.327887;2.88028
0.648104;0.32927;2.89305
0.645178;0.327863;2.88008
0.646751;0.328647;2.88726
0.646394;0.328535;2.88551
0.645619;0.328123;2.88234
0.645849;0.328222;2.88351
0.645075;0.327817;2.87991
0.64744;0.329023;2.89008
0.645178;0.32788;2.88021
0.645178;0.32788;2.88021
0.645178;0.32788;2.88021
0.645218;0.32786;2.88013
0.643617;0.327104;2.87337
0.644175;0.327416;2.87585
0.642869;0.326811;2.87
0.646941;0.328707;2.88784
0.644881;0.327741;2.87904
0.649175;0.329833;2.89756
0.646806;0.328644;2.88726
0.644311;0.327472;2.87662
0.646616;0.32854;2.88682
0.645614;0.328054;2.88203
0.645649;0.328045;2.8822
0.646736;0.328657;2.88735
0.645075;0.327817;2.87991
0.645167;0.327776;2.88033
0.645071;0.327837;2.8796
0.645661;0.328106;2.88224
0.645614;0.328054;2.88203
0.647009;0.328716;2.88816
0.64648;0.328428;2.88564
0.646384;0.328383;2.88522
0.646384;0.328383;2.88522



X;Y;Z
0.607936;-0.39024;2.85311
0.607745;-0.39015;2.85221
0.608236;-0.390295;2.85436
0.609098;-0.391003;2.85873
0.610704;-0.391842;2.86596
0.607399;-0.389978;2.85073
0.606851;-0.389408;2.84784
0.607044;-0.389758;2.84891
0.60929;-0.39097;2.85951
0.608359;-0.390476;2.8548
0.607975;-0.390186;2.85307
0.607381;-0.389856;2.85004
0.609404;-0.391076;2.85968
0.607561;-0.389934;2.85086
0.610209;-0.391621;2.86364
0.608319;-0.390366;2.85473
0.609852;-0.391431;2.86226
0.607976;-0.390251;2.85298
0.607058;-0.389682;2.84897
0.609445;-0.391146;2.85974
0.608924;-0.39086;2.85743
0.609733;-0.391329;2.86155
0.60931;-0.391084;2.85927
0.607509;-0.389998;2.8511
0.6081;-0.390256;2.85356
0.607957;-0.390239;2.85313
0.607925;-0.390234;2.85304
0.607916;-0.390183;2.85268
0.609355;-0.391126;2.85972
0.607855;-0.390261;2.85259
0.60967;-0.391311;2.86096
0.6093;-0.391;2.85946
0.608402;-0.390451;2.85484
0.608993;-0.390862;2.85801
0.607692;-0.39001;2.85178
0.609565;-0.391082;2.86047
0.61032;-0.391526;2.86385
0.608831;-0.390608;2.85669
0.608967;-0.390768;2.85806
0.610231;-0.391618;2.86388
0.608041;-0.390241;2.85369
0.610643;-0.391778;2.86562
0.611464;-0.392318;2.86977
0.612914;-0.393217;2.8761
0.608088;-0.390252;2.85363
0.609326;-0.391025;2.85943
0.60905;-0.390869;2.85843
0.608341;-0.390396;2.85515
0.606812;-0.38961;2.84781
0.610967;-0.392029;2.86722
0.608309;-0.390287;2.85407
0.612863;-0.393206;2.87606
0.610322;-0.391607;2.86403
0.609639;-0.391271;2.86065
0.608943;-0.390839;2.85768
0.610238;-0.391634;2.86355
0.609856;-0.391303;2.86215
0.610682;-0.391873;2.86577
0.610181;-0.39164;2.86336
0.608137;-0.390185;2.85365
0.611871;-0.392682;2.87148
0.612148;-0.392803;2.87269
0.608243;-0.390233;2.85395
0.608633;-0.390575;2.8562
0.608798;-0.390705;2.8567
0.610619;-0.391804;2.86542
0.609636;-0.391114;2.86055
0.611477;-0.392434;2.86987
